id,time_board,time_offboard,onboard_lat,onboard_lon,offboard_lat,offboard_lon,date_board,date_offboard
21,22:12:19,22:16:05,37.3502,-121.939,37.3494,-121.941,2016-12-07,2016-12-07
22,22:12:20,22:16:06,37.3502,-121.939,37.3494,-121.941,2016-12-07,2016-12-07
23,23:33:57,23:47:23,37.3496,-121.941,37.3484,-121.941,2016-12-07,2016-12-07
24,23:33:57,23:47:23,37.3496,-121.941,37.3484,-121.941,2016-12-07,2016-12-07
25,23:33:58,23:47:24,37.3496,-121.941,37.3484,-121.941,2016-12-07,2016-12-07
31,22:13:33,22:35:37,37.3502,-121.939,37.3501,-121.939,2017-01-10,2017-01-10
32,23:34:07,23:36:11,37.3492,-121.941,37.3501,-121.939,2017-01-10,2017-01-10
131,23:33:22,23:35:37,37.35,-121.94,37.3496,-121.941,2016-12-06,2016-12-06
132,23:41:33,23:41:36,37.3492,-121.941,37.3492,-121.941,2016-12-06,2016-12-06
133,23:41:35,23:45:08,37.3492,-121.941,37.3499,-121.93799999999999,2016-12-06,2016-12-06
134,23:41:36,23:45:07,37.3492,-121.941,37.3499,-121.93799999999999,2016-12-06,2016-12-06
135,16:34:40,16:40:03,37.3497,-121.941,37.351,-121.93799999999999,2016-12-07,2016-12-07
136,18:47:19,19:05:05,37.3502,-121.939,37.3502,-121.939,2016-12-07,2016-12-07
137,18:47:54,19:01:44,37.3502,-121.939,37.35,-121.93799999999999,2016-12-07,2016-12-07
138,19:07:01,19:12:03,37.3502,-121.939,37.3484,-121.941,2016-12-07,2016-12-07
139,19:07:03,19:12:02,37.3502,-121.939,37.3484,-121.941,2016-12-07,2016-12-07
140,22:12:19,22:16:05,37.3502,-121.939,37.3494,-121.941,2016-12-07,2016-12-07
152,20:12:32,20:25:47,37.3497,-121.94,37.3489,-121.941,2016-12-06,2016-12-06
153,20:12:33,20:15:47,37.3497,-121.94,37.3499,-121.93799999999999,2016-12-06,2016-12-06
154,20:12:33,20:25:48,37.3497,-121.94,37.349000000000004,-121.941,2016-12-06,2016-12-06
155,21:23:07,21:25:28,37.3496,-121.941,37.3483,-121.941,2016-12-06,2016-12-06
156,23:10:03,23:11:07,37.3498,-121.94,37.3496,-121.941,2016-12-06,2016-12-06
157,21:39:33,22:09:37,37.3498,-121.94,37.3496,-121.941,2016-12-06,2016-12-06
158,23:10:04,23:11:07,37.3498,-121.94,37.3496,-121.941,2016-12-06,2016-12-06
159,23:33:20,23:35:36,37.35,-121.94,37.3496,-121.941,2016-12-06,2016-12-06
160,23:33:21,23:35:37,37.35,-121.94,37.3496,-121.941,2016-12-06,2016-12-06
166,00:28:03,00:43:32,37.3504,-121.94200000000001,37.3505,-121.94200000000001,2017-01-10,2017-01-10
167,00:49:58,01:00:53,37.3504,-121.94200000000001,37.3505,-121.94200000000001,2017-01-10,2017-01-10
168,00:49:59,01:00:54,37.3503,-121.94200000000001,37.3505,-121.94200000000001,2017-01-10,2017-01-10
169,00:28:04,00:43:32,37.3504,-121.94200000000001,37.3505,-121.94200000000001,2017-01-10,2017-01-10
170,00:28:04,00:43:32,37.3504,-121.94200000000001,37.3505,-121.94200000000001,2017-01-10,2017-01-10
911,23:33:45,23:38:32,37.3498,-121.94,37.3484,-121.941,2017-02-27,2017-02-27
912,23:33:45,23:38:31,37.3498,-121.94,37.3484,-121.941,2017-02-27,2017-02-27
913,00:53:09,00:54:41,37.3493,-121.941,37.3484,-121.941,2017-02-28,2017-02-28
914,00:53:10,00:54:40,37.3493,-121.941,37.3484,-121.941,2017-02-28,2017-02-28
915,22:14:39,22:29:41,37.3505,-121.94200000000001,37.3505,-121.94200000000001,2017-02-28,2017-02-28
916,22:14:39,22:29:41,37.3505,-121.94200000000001,37.3505,-121.94200000000001,2017-02-28,2017-02-28
917,22:14:40,22:29:42,37.3505,-121.94200000000001,37.3505,-121.94200000000001,2017-02-28,2017-02-28
918,23:01:02,23:29:44,37.3501,-121.939,37.3503,-121.94200000000001,2017-02-28,2017-02-28
919,23:01:03,23:07:46,37.3501,-121.939,37.3497,-121.941,2017-02-28,2017-02-28
